productNo,name,description,category_third_name
A42,HP/惠普暗影精灵Pro暗夜精灵4代光影学生游戏本笔记本电脑i5i7,https://item.taobao.com/item.htm?id=581629170308&ns=1&abbucket=12#detail,惠普电脑
A43,HP/惠普薄锐ENVY1313.3英寸窄边框IPS屏72%色域八代酷睿i5i7超轻薄金属笔记本电脑商务办公上网本2019款,https://detail.tmall.com/item.htm?id=592880147978&ns=1&abbucket=12,惠普电脑
A44,HP/惠普HP-星14超薄便携商务学生PAVILION14畅游人游戏笔记本电脑i5王源代言2G独显固态本,https://detail.tmall.com/item.htm?id=553656014531&ns=1&abbucket=12,惠普电脑
A45,HP/惠普暗影精灵5代15.6英寸游戏笔记本电脑144hz电竞屏学生吃鸡GTX1660Ti独显9代i7-9750H处理器暗夜精灵5,https://detail.tmall.com/item.htm?id=595189851516&ns=1&abbucket=12,惠普电脑
A46,HP/惠普薄锐envyx36013.3英寸轻薄窄边框翻转触控PC平板二合一学生商务游戏超级笔记本电脑,https://detail.tmall.com/item.htm?id=575687475313&ns=1&abbucket=12,惠普电脑
A47,HP/惠普光影精灵4暗影精灵4八代i5-8300h独显GTX1050游戏本轻薄便携学生办公2019款15.6英寸手提笔记本电脑,https://detail.tmall.com/item.htm?id=594166404503&ns=1&abbucket=12,惠普电脑
A48,HP/惠普暗影精灵4代pro1060吃鸡游戏本i7独显光影精灵4代144hz电竞屏学生笔记本电脑暗夜精灵4代暗影精灵5,https://detail.tmall.com/item.htm?id=553347744655&ns=1&abbucket=12,惠普电脑
A49,HP/惠普ProDesk280288285ProG3G4MT商用台式机电脑主机,https://click.simba.taobao.com/cc_im?p=%BB%DD%C6%D5%B5%E7%C4%D4&s=1775370010&k=673&e=EYeFykFXHqhfqaq6gOOMvNtpWJCphk%2FmUT0V05nuEw7Xdenx%2FS0BzzeF1suKiGPnhJHZaYMlloual5jKYAiBBCEaO8PwWtWHfZXZPpH0v3d3QL%2B4PXsL42zWgj66Di6w8oQOlYVDywgVxD%2Bb2HN83GE30qrEuX7m6ABxVa9%2FLvz6b7y4eNKvTyq1r6YpKAhsqnrXexFHB6AX%2F3jfSeJTfoRnEYWDOn8QAReyU08AIFhmjr72wbF33jToYjMyUJVHgyiquYfkUI4GwvxFfK%2BUo7MxQRsaGyChqTvDTM85N9A%2BOdU3mx8Axvu201pqfVTw9Gjb7dfFlGNr2meMJmYErXI1%2Foxu92x3WE7kBXTvj5BreEx%2B%2B%2FF83TFboLnpMJz0Xo8vgAelAdIVWzY151olaE7lMV4Gicx7uKO%2B9f1mV2GfDmAI90Z%2FNQyxE1bh2C0mp9lpIM0gnOl1gGWeruvnHoKk%2FB751Rv4I8WBveGpkn0hH0phphha9MAU%2F3ql9KQ7WjDaEV1OURdZyWQttyA3AawQWd%2B1Eu9DALWaMzk%2FTZNbMPmhnNV8yPzX2uFAaUGq9nnYa2uOVsjOyEnAD0BO6N%2FrudA%2FBuMryROcPpsmPQfBRdLhD%2F0wN2OXwTWV2ubEo8hmOJymuX%2FYoYHr56v0mz0vKPSG1RnS#detail,惠普电脑
A50,HP/惠普EliteDesk705G4MTSFF台式机,https://click.simba.taobao.com/cc_im?p=%BB%DD%C6%D5%B5%E7%C4%D4&s=1775370010&k=673&e=MRRDQ8rjdp9fqaq6gOOMvNtpWJCphk%2FmUT0V05nuEw7Xdenx%2FS0BzzeF1suKiGPnhJHZaYMllotB%2FBCTZsLQmnPxky574mxZfZXZPpH0v3d3QL%2B4PXsL42zWgj66Di6w8oQOlYVDywgVxD%2Bb2HN83GE30qrEuX7m6ABxVa9%2FLvz6b7y4eNKvTyq1r6YpKAhsqnrXexFHB6AX%2F3jfSeJTfoRnEYWDOn8QAReyU08AIFhmjr72wbF33jToYjMyUJVHgyiquYfkUI4GwvxFfK%2BUo7MxQRsaGyChqTvDTM85N9A%2BOdU3mx8Axvu201pqfVTw9Gjb7dfFlGNr2meMJmYErXI1%2Foxu92x3WE7kBXTvj5BreEx%2B%2B%2FF83TFboLnpMJz0Xo8vgAelAdI92gqxpX7PmZWI%2BoewMG8%2FUR521pPL5Zyej3%2FiRLZGbkSwiHsbCpFi2E5d6gV8mhxOTeGmL8WFwCmh3MMHNTGwI8WBveGpkn0hH0phphha9MAU%2F3ql9KQ7WjDaEV1OURdZyWQttyA3Adhk%2FXnUPt2X%2Fw0%2FvDyyES1bMPmhnNV8yPzX2uFAaUGq9nnYa2uOVshI8QZJToaw9bTsSNJh%2FU%2F8dZp75AgJNIPBRdLhD%2F0wN2OXwTWV2ubEo8hmOJymuX%2FYoYHr56v0mz0vKPSG1RnS#detail,惠普电脑
A51,HP/惠普星系列14英寸商务办公笔记本青春版独显轻薄便携学生手提笔记本电脑i5/i7女生粉色游戏本旗舰店正品,https://click.simba.taobao.com/cc_im?p=%BB%DD%C6%D5%B5%E7%C4%D4&s=1775370010&k=665&e=GTpyr%2FxJCppfqaq6gOOMvNtpWJCphk%2FmUT0V05nuEw7Xdenx%2FS0BzzeF1suKiGPn0Oibp7a7I4f8Y1z1uH9tWuagnCd3mO63fZXZPpH0v3d3QL%2B4PXsL42zWgj66Di6w8oQOlYVDywgVxD%2Bb2HN83GE30qrEuX7m6ABxVa9%2FLvz6b7y4eNKvTyq1r6YpKAhsqnrXexFHB6AX%2F3jfSeJTfoRnEYWDOn8QAReyU08AIFhmjr72wbF33jToYjMyUJVHgyiquYfkUI4GwvxFfK%2BUo7MxQRsaGyChqTvDTM85N9A%2BOdU3mx8Axvu201pqfVTw9Gjb7dfFlGNr2meMJmYErXI1%2Foxu92x3WE7kBXTvj5BreEx%2B%2B%2FF83RWXwaU8owCINBdDgCuyHkYVy1YeXDXOMJgngo0K%2BIVMF9bGpQD7Zto0%2B0EOWtnotd6wh%2FXGfhSU9Akpp1xuO4HMLiNWsZrVADp02s8%2B1hF28J5H8GbwcYTk0ydQJ72lsdBljKHUqQfAdSo0MYa0Ey8pkjsPdcIeTSCTrhVmquL8L4aH3SigbhMfSELQbZUA38IW8%2FbMoGW1RtIjh1hKR1RigxSul01sJ9sW6c%2FLzM5qkjU4m5WmldzZMuLaWkkXownTqvCq48Bj2LetZdYj1xo%2FaTznJr645A%3D%3D,惠普电脑
A52,HP/惠普9470M-E5H44PA笔记本电脑14寸超薄本学生游戏商务办公手提,https://item.taobao.com/item.htm?id=566100370774&ns=1&abbucket=12#detail,惠普电脑
A53,HP/惠普星14s青春版锐龙R7-3700U四核14.0英寸窄边框笔记本电脑学生窄边框轻薄便携办公本手提电脑官网正品,https://detail.tmall.com/item.htm?id=593761429533&ns=1&abbucket=12,惠普电脑
A54,HP/惠普星15星系列畅游人15.6英寸笔记本电脑i5八代轻薄便携学生游戏商务办公本2019款微边框MX150满血版,https://detail.tmall.com/item.htm?id=595820455369&ns=1&abbucket=12,惠普电脑
A55,HP/惠普光影精灵4代笔记本电脑1050ti独显光影5代学生吃鸡游戏本八代i5处理器9代新品15.6英寸GTX1650,https://detail.tmall.com/item.htm?id=573529541430&ns=1&abbucket=12,惠普电脑
A56,HP/惠普暗影精灵5代游戏本光影精灵5代暗夜144hz电竞屏RTX2060学生吃鸡独显手提i5/i7笔记本电脑2019款,https://detail.tmall.com/item.htm?id=595083057380&ns=1&abbucket=12,惠普电脑
A57,HP/惠普星15微边框超薄轻薄便携独显王源笔记本八代电脑手提笔记本电脑MX150独显,https://detail.tmall.com/item.htm?id=572763745819&ns=1&abbucket=12,惠普电脑
A58,【限时立减300】HP/惠普星14青春版14英寸窄边框笔记本电脑学生游戏本轻薄便携办公手提电脑旗舰店官网,https://detail.tmall.com/item.htm?id=590003827140&ns=1&abbucket=12,惠普电脑
A59,【新品推荐】HP/惠普英特尔酷睿i5光影精灵5代暗影精灵5游戏本笔记本电脑游戏官方旗舰店官网,https://detail.tmall.com/item.htm?id=594742379260&ns=1&abbucket=12,惠普电脑
A60,【三期免息】惠普（hp）ENVY13-aq0007TX13.3英寸MX250独显轻薄便携商务办公学生手提笔记本电脑官方,https://detail.tmall.com/item.htm?id=592918541573&ns=1&abbucket=12,惠普电脑
A61,HP/惠普星系列14青春版笔记本电脑女生款超薄适合女生的轻薄便携商务办公本学生2019款笔记本电脑,https://detail.tmall.com/item.htm?id=569134517100&ns=1&abbucket=12,惠普电脑
A62,星系列HP/惠普星14王源轻薄便携商务笔记本电脑八代增强版女生超级本畅游人学生手提游戏本i5/i7旗舰店同款,https://detail.tmall.com/item.htm?id=569952071106&ns=1&abbucket=12,惠普电脑
A63,【限时减100】HP/惠普星15S青春版15.6英寸八代i5窄边框轻薄便携商务办公学生手提笔记本电脑官方正品,https://detail.tmall.com/item.htm?id=590582064352&ns=1&abbucket=12,惠普电脑
A64,HP/惠普暗影精灵4代pro吃鸡游戏本144hz电竞屏光影精灵四暗夜精灵5GTX1060学生游戏独显手提笔记本电脑,https://detail.tmall.com/item.htm?id=553360549702&ns=1&abbucket=12,惠普电脑
A65,HP/惠普暗影精灵4代pro笔记本学生电脑惠普官方旗舰店官网光影精灵4代暗夜精灵5吃鸡游戏本笔记本电脑,https://detail.tmall.com/item.htm?id=577230529450&ns=1&abbucket=12,惠普电脑
A66,HP/惠普战66二代13.3英寸ZHAN66二代超薄轻薄便携娱乐学生学习手提电脑笔记本电脑八代i5游戏本商务办公本,https://detail.tmall.com/item.htm?id=585069312239&ns=1&abbucket=12,惠普电脑
A67,HP/惠普OMEN暗影精灵4暗影精灵5游戏本暗夜4pro学生i5独显笔记本电脑15.6光影精灵4代5代官方旗舰店官网,https://detail.tmall.com/item.htm?id=553277870881&ns=1&abbucket=12,惠普电脑
A68,HP/惠普暗影精灵5代Plus电竞版17.3英寸暗夜精灵5PLUSRTX2070电竞屏144HZ吃鸡游戏本RTX2080笔记本电脑,https://detail.tmall.com/item.htm?id=561264681008&ns=1&abbucket=12,惠普电脑
A69,【暗影5PLUS】HP/惠普暗影17.3幻影精灵X酷睿9代I9-9880H标压学生吃鸡高性能电竞游戏笔记本电脑RTX20808G,https://detail.tmall.com/item.htm?id=594844643694&ns=1&abbucket=12,惠普电脑
A70,HP/惠普EliteBook1050G115.6英寸笔记本电脑八代i5标压i7GTX1050独显轻薄便捷商务办公本游戏本商务本,https://detail.tmall.com/item.htm?id=584238899458&ns=1&abbucket=12,惠普电脑
A71,【新品推荐】HP/惠普ENVYx36013.3英寸翻转触控本电脑笔记本锐龙R7-3700U轻薄便携商务办公学生翻转笔记本,https://detail.tmall.com/item.htm?id=593127583689&ns=1&abbucket=12,惠普电脑
A72,惠普星14青春版2019款笔记本电脑轻薄便携学生全新正品商务游戏手提适合女生的款小型超薄库存官方旗舰店官网,https://detail.tmall.com/item.htm?id=594391991677&ns=1&abbucket=12,惠普电脑
A73,【暗影精灵5代Air】HP/惠普暗影精灵5代Air9代i7-9750H处理器吃鸡游戏本暗夜精灵5代学生游戏笔记本电脑,https://detail.tmall.com/item.htm?id=595389265272&ns=1&abbucket=12,惠普电脑
A74,HP/惠普暗影精灵4代15.6英寸游戏笔记本学生电竞144hz吃鸡游戏本笔记本电脑手提八代i5/i7暗夜精灵4游戏本,https://detail.tmall.com/item.htm?id=571104645389&ns=1&abbucket=12,惠普电脑
A75,HP/惠普光影精灵4代暗影精灵4代pro暗夜精灵4代吃鸡游戏本8代CPU学生电竞游戏笔记本i7独显笔记本电脑,https://detail.tmall.com/item.htm?id=570102344148&ns=1&abbucket=12,惠普电脑
A76,【狂暑季】HP/惠普2019全新款小欧15.6英寸超薄手提电脑笔记本电脑学生办公用商务轻薄便携官方旗舰店官网,https://detail.tmall.com/item.htm?id=594293161323&ns=1&abbucket=12,惠普电脑
A77,新品HP/惠普光影暗影精灵5代Plus17.3寸暗夜精灵4GTX1660电竞屏144HZ吃鸡游戏本GTX2060笔记本电脑i7,https://detail.tmall.com/item.htm?id=591739171154&ns=1&abbucket=12,惠普电脑
A78,HP/惠普OMEN幻影精灵X暗影精灵5代5plus九代i7i9游戏笔记本,https://item.taobao.com/item.htm?id=547421898121&ns=1&abbucket=12#detail,惠普电脑
A79,HP/惠普暗影精灵5代游戏本i7独显1080高配轻薄学生吃鸡游戏本RX2060光影精灵5暗夜精灵5代1660ti笔记本电脑,https://detail.tmall.com/item.htm?id=595077351591&ns=1&abbucket=12,惠普电脑
A80,HP/惠普暗影精灵5代光影精灵幻影精灵15.6英寸新品9代标压处理器144Hz吃鸡游戏本学生电竞游戏本笔记本电脑,https://detail.tmall.com/item.htm?id=571545017578&ns=1&abbucket=12,惠普电脑
A81,HP/惠普14q-笔记本电脑轻薄便携商务办公学生笔记本电脑14寸手提星14青春版,https://detail.tmall.com/item.htm?id=585265269579&ns=1&abbucket=12,惠普电脑
A82,HP/惠普15g小欧15.6英寸超薄便携商务办公学生游戏手提笔记本电脑全高清,https://detail.tmall.com/item.htm?id=564838850274&ns=1&abbucket=12,惠普电脑
A83,HP/惠普暗影精灵5代新品GTX1660Ti窄边学生游戏RTX笔记本电脑i7,https://item.taobao.com/item.htm?id=594327061015&ns=1&abbucket=12#detail,惠普电脑
A84,惠普笔记本电脑HP14轻薄便携办公学生14寸手提商务超薄本全新正品粉色2018款笔计本普惠女生超轻薄官方旗舰店,https://detail.tmall.com/item.htm?id=569763769987&ns=1&abbucket=12,惠普电脑
A85,HP/惠普星14x360王源同款360°翻转笔记本电脑8代酷睿i3微边框触控屏轻薄便携商务办公学生影像音乐金银色,https://detail.tmall.com/item.htm?id=593913201153&ns=1&abbucket=12,惠普电脑
A86,HP/惠普OMEN17-an014TX暗影精灵5代plus暗影5plus游戏笔记本,https://item.taobao.com/item.htm?id=575134076072&ns=1&abbucket=12#detail,惠普电脑
A87,hp惠普9代i7光影暗夜暗影精灵5代air学生吃鸡设计师专用RTX2060手提独显游戏笔记本电脑惠普旗舰店官网同款,https://detail.tmall.com/item.htm?id=573232340660&ns=1&abbucket=12,惠普电脑
A88,hp惠普官方旗舰店官网2019款九代暗影精灵5光影精灵5代plus学生电竞吃鸡游戏本手提笔记本电脑GTX1660ti正品,https://detail.tmall.com/item.htm?id=594488657029&ns=1&abbucket=12,惠普电脑
A89,HP/惠普星15能量版15.6英寸八代i5四核8G512GPCIeSSDGTX10502G独显cs1068TX轻薄本笔记本电脑,https://detail.tmall.com/item.htm?id=581604672217&ns=1&abbucket=12,惠普电脑
A90,HP/惠普星系列141315王源畅游人Pavilion轻薄微边框便携商务办公学生笔记本电脑四核8代CPU增强版MX150,https://detail.tmall.com/item.htm?id=571750367700&ns=1&abbucket=12,惠普电脑
A91,惠普HP/惠普星14青春版HP14S轻薄便携办公学生14寸手提商务超薄本全新正品粉色2018款笔计本普惠女生超轻薄,https://detail.tmall.com/item.htm?id=596512397209&ns=1&abbucket=12,惠普电脑
A92,HP/惠普EliteBook735G513.3英寸745G5高端商务办公超薄笔记本电脑轻薄便携学生840G4超级本旗舰店游戏本,https://detail.tmall.com/item.htm?id=573295720459&ns=1&abbucket=12,惠普电脑
A93,HP/惠普HP14S14英寸轻薄笔记本电脑学生商务办公手提电脑全新8代处理128GSSD,https://click.simba.taobao.com/cc_im?p=%BB%DD%C6%D5%B5%E7%C4%D4&s=1409855353&k=665&e=TYGv3eCW39XosLhE%2FEu7h1Hx3i%2BB05H362ja2%2FbNMlxRZ3ODPcAgxYVsRtwqurkZ8oFhrAsvLnUSRsqG2xyHuvq8wqzEvtXdonAHz3fhvurk6R0kL0CP2DOZrV2SrElJdRny10%2Fxpu6J2gH%2Fgsfjx1nBCWJx0bfbm2ZjAlPB0gAs7dd64ClZLw9LGVlXOwFM%2FpcROTnsgmKCQWjWqNz8B929sBFDb6fRsYwhN8yyGBBQGoAkRVeTH%2BYijNQKde3TIDzXTBCbvOGVXVPtgtClutlgzWAP79lZR5WwNVzW3y8U%2F99mbFU%2BNvdE2gkWfX%2B07XOoAp2yPjcjQtwyf7AWQU0XFJOt%2Fn7EDjEAn6THsuAEcUd%2FHXnSfjBI43MZxLavDoHBwYBeCt2w76quJJfTIBT5NfOqxWZmbX%2B4VVf%2B8vCQVCNUjr9DZUeBuY9dVf10lrKZ6tL0mrigIbyvnIPYkV2LHec%2Fzx1srXU9ESsVFnk4UU4MWwUUY6q3z0PnupJ1cra0%2FauH2KeZBFIDJa4fUxJlAe5VVehLdE4dZ67H65aQnDiw%2FmTW6VIhOFC0z4CK8ulRoxtJGCABVrJxcfjsDYWajhJVCf7INzHVaBfj2JRRfKMYpfAuJWucVo39UHOAluiuP1KRS30ZQ78SrX%2BiNA%3D%3D,惠普电脑
