storeNo,productNo,price,stock
156,A729,205,44896
101,A730,1820,80935
145,A731,350,93047
201,A732,225,69709
141,A733,199,92962
87,A734,5280,57787
202,A735,165,36019
100,A736,399,78108
171,A737,5799,31536
172,A738,400,67181
98,A739,269,63183
203,A740,239,57159
204,A741,310,4947
146,A742,998,62737
205,A743,5599,10646
151,A744,5349,4816
206,A745,2250,74631
207,A746,25,95962
208,A747,380,28988
33,A748,1999,46519
140,A749,4499,82021
99,A750,600,13379
110,A751,2800,69648
196,A752,430,62303
176,A753,1489,1519
101,A754,1430,54308
121,A755,5698,85344
122,A756,2200,51420
128,A757,4250,57167
102,A758,468,85186
209,A759,1699,90857
105,A760,5050,94910
3,A761,4099,32691
3,A762,15999,40061
8,A763,5799,15218
8,A764,5599,77735
110,A765,1750,34515
210,A766,299,54786
12,A767,4299,37715
190,A768,280,66668
211,A769,3279,47070
122,A770,4699,17442
212,A771,5299,86476
188,A772,4998,39680
166,A773,4599,71937
213,A774,70,42900
63,A775,1699,87294
188,A776,2850,73648
214,A777,3999,82737
131,A778,4500,39763
215,A779,3099,90943
216,A780,750,63225
131,A781,600,62063
59,A782,3198,32489
217,A783,990,53403
77,A784,1499,96931
218,A785,560,26301
164,A786,540,32542
219,A787,1850,84639
61,A788,2699,83921
63,A789,1799,75117
220,A790,255,11740
76,A791,290,81981
99,A792,630,81755
137,A793,300,50308
221,A794,1880,8801
222,A795,9060,36664
223,A796,1900,77043
224,A797,398,30064
225,A798,3600,90321
156,A799,240,39884
102,A800,35,41663
226,A801,3999,42288
227,A802,1180,52293
228,A803,1480,33418
229,A804,3799,475
230,A805,5499,60382
231,A806,4599,76969
232,A807,1150,65296
24,A808,2999,17003
233,A809,988,8026
224,A810,499,87800
86,A811,1370.25,93526
234,A812,488,15426
233,A813,988,31691
3,A814,3499,45478
3,A815,4999,93727
8,A816,4899,73228
8,A817,3599,91762
63,A818,1599,79207
234,A819,588,93956
235,A820,14.8,4956
236,A821,400,66720
233,A822,2098,65763
233,A823,2178,49740
237,A824,1580,23978
238,A825,1280,80604
239,A826,1200,5643
147,A827,560,29228
234,A828,298,32827
240,A829,140,73102
241,A830,399,22464
103,A831,290,20205
242,A832,299,26416
103,A833,50,27415
193,A834,30,27449
243,A835,299,26444
6,A836,6699,39418
6,A837,6299,27278
244,A838,1080,1540
245,A839,2000,32631
3,A840,5199,70977
246,B01,1699,22372
247,B02,7999,287
248,B03,3499,8572
248,B04,4199,60238
247,B05,5799,97761
6,B06,4699,75516
249,B07,2099,99278
6,B08,3999,52350
250,B09,3999,68820
251,B10,2899,49558
252,B11,7799,92710
253,B12,1880,63623
254,B13,3199,19029
255,B14,2099,47694
256,B15,6999,57921
252,B16,8599,51573
257,B17,5499,41841
258,B18,1880,19762
259,B19,3899,61482
250,B20,4999,42858
260,B21,2099,83948
261,B22,1199,13739
262,B23,1199,80537
263,B24,2999,85130
264,B25,1300,82393
265,B26,1875,18056
263,B27,3699,15674
266,B28,1880,82628
256,B29,5599,77277
267,B30,5499,66713
254,B31,4699,4914
268,B32,3999,94079
269,B33,2999,89398
270,B34,3770.1,63273
251,B35,2999,35775
259,B36,3899,44833
271,B37,3998,24539
271,B38,3699,35343
272,B39,1199,55517
260,B40,3399,1111
273,B41,4899,54585
274,B42,4399,19140
60,B43,5989,77347
173,B44,1450,26322
269,B45,1300,9743
275,B46,2149,4127
268,B47,4099,35016
276,B48,1880,22887
277,B49,2399,81810
165,B50,2280,64076
271,B51,2799,21457
257,B52,5799,28960
278,B53,1480,72747
158,B54,2889,58276
53,B55,2533,82954
279,B56,4899,57245
274,B57,3299,52366
248,B58,5299,14194
248,B59,5799,8010
247,B60,6749,63797
247,B61,5099,54339
6,B62,5499,63443
6,B63,4899,25038
252,B64,5699,44986
252,B65,6298,40006
250,B66,5899,56704
263,B67,5099,63886
256,B68,5499,22381
263,B69,2999,81370
256,B70,7999,3741
251,B71,3699,46775
271,B72,4899,90365
260,B73,2009,5785
259,B74,4099,23960
259,B75,2999,53853
268,B76,5999,92873
254,B77,3899,54651
251,B78,3999,95158
280,B79,2530,25772
281,B80,2899,17172
271,B81,4989,30596
279,B82,5199,35905
282,B83,4799,28012
274,B84,5999,85207
268,B85,6999,22027
250,B86,2999,13167
283,B87,1699,51864
284,B88,1350,12223
285,B89,4488,22594
286,B90,1880,88264
254,B91,2799,17054
287,B92,6999,83333
246,B93,2299,61859
268,B94,3999,83930
288,B95,2899,79671
274,B96,6199,62298
289,B97,4499,4731
288,B98,3799,76973
290,B99,5550,35646
291,B100,6698,3448
292,B101,1300,13474
293,B102,1190,20276
294,B103,4099,71542
295,B104,4499,15140
296,B105,2600,63518
297,B106,3249,30779
297,B107,4199,13019
298,B108,4599,9186
299,B109,1888,73733
287,B110,8599,987
260,B111,3599,15593
300,B112,9998,40444
301,B113,1600,23081
248,B114,6099,55860
248,B115,4799,4916
247,B116,2999,96216
247,B117,5099,61643
6,B118,5799,5824
252,B119,6698,82568
252,B120,6248,94546
6,B121,3199,71955
263,B122,3998,72234
256,B123,5999,18970
256,B124,7799,34943
263,B125,2399,34108
259,B126,4549,31572
259,B127,7598,69621
251,B128,3899,23270
251,B129,3999,87500
268,B130,2099,11667
268,B131,2699,41272
250,B132,5299,11259
250,B133,4249,97193
271,B134,7799,68817
274,B135,3999,49123
271,B136,4399,22359
302,B137,1762.2,39065
252,B138,4198,62028
303,B139,5598,44943
304,B140,4299,12690
305,B141,5399,31936
300,B142,13488,17948
257,B143,5999,62182
306,B144,1649.28,89960
274,B145,4799,88108
254,B146,3399,31293
298,B147,3099,46965
307,B148,4999,81255
295,B149,3299,61304
308,B150,4199,61663
275,B151,3699,22273
309,B152,3699,48977
301,B153,1600,69362
291,B154,3599,33337
295,B155,4899,49655
287,B156,7499,2430
296,B157,3850,51903
298,B158,4199,97398
277,B159,2199,36296
288,B160,3999,96113
310,B161,4099,70114
288,B162,2139,70878
287,B163,5499,16888
291,B164,6599,46288
153,B165,2880,30260
308,B166,9299,66747
279,B167,6099,20323
310,B168,4799,74159
311,B169,5499,2067
248,B170,6799,29270
248,B171,5599,84728
247,B172,8399,61808
247,B173,5699,97408
252,B174,6449,86962
6,B175,7499,54391
6,B176,5199,33754
256,B177,14999,34536
256,B178,13999,80201
263,B179,5799,19041
252,B180,3898,60908
279,B181,4899,37965
306,B182,1670,36989
312,B183,7200,95928
259,B184,6499,40600
263,B185,6999,31897
251,B186,5799,53337
251,B187,2298,7928
259,B188,4899,18702
268,B189,2549,7238
268,B190,4799,37689
271,B191,2999,81443
274,B192,14499,65455
271,B193,4899,6664
274,B194,4999,44596
298,B195,6199,42647
250,B196,4299,34147
288,B197,2999,85321
298,B198,4099,6198
297,B199,2999,92204
289,B200,4099,35734
313,B201,1988,38363
250,B202,3899,54158
305,B203,3699,9856
297,B204,5988,75617
287,B205,4299,91193
314,B206,4599,4838
287,B207,5499,4219
257,B208,4099,38006
285,B209,4188,70961
315,B210,3098.7,40178
257,B211,5899,44426
316,B212,1599,78349
254,B213,3899,58875
317,B214,6349,95849
285,B215,7488,82044
308,B216,4199,19929
291,B217,9099,96971
294,B218,2999,30890
318,B219,1350,60644
281,B220,2899,62276
319,B221,1348,75255
306,B222,3144.15,28861
320,B223,4579,21182
1,B224,3599,74977
321,B225,1198,77227
318,B226,1350,27783
322,B227,2888,94556
319,B228,3749,21326
248,B229,7799,16569
248,B230,3999,33346
247,B231,6599,34716
6,B232,6499,44415
6,B233,5999,61983
247,B234,5899,9685
256,B235,9999,87886
256,B236,11299,2594
252,B237,5649,41120
252,B238,4498,91768
259,B239,4598,40999
259,B240,2099,17833
251,B241,2649,29592
268,B242,3599,5919
251,B243,8098,38051
263,B244,3599,12500
263,B245,5299,37226
274,B246,4399,58959
268,B247,2799,43128
274,B248,4199,3067
298,B249,11299,17487
298,B250,4399,57422
257,B251,6899,94882
257,B252,8299,68587
250,B253,7299,11777
287,B254,6299,12605
271,B255,3998,58182
287,B256,6588,96919
285,B257,4688,99267
271,B258,3699,76004
285,B259,5788,7864
323,B260,1699,48202
305,B261,3599,53269
324,B262,2239,72609
27,B263,2880,20511
300,B264,4688,60583
308,B265,4488,93920
325,B266,3399,39342
300,B267,6988,28929
326,B268,1129,74621
322,B269,2999,59306
254,B270,3899,28290
327,B271,3499,52509
295,B272,6299,13622
260,B273,3566,79113
328,B274,3099,61088
254,B275,3399,37491
295,B276,6999,77781
289,B277,5788,19094
279,B278,4199,48943
250,B279,4899,88290
329,B280,3899,90550
297,B281,8499,15206
308,B282,4599,55819
299,B283,2088,92857
248,B284,3999,57197
248,B285,7899,59480
6,B286,3499,28968
6,B287,5699,28767
247,B288,4788,25798
247,B289,3999,71095
256,B290,4299,21153
256,B291,7999,39477
252,B292,7298,60498
252,B293,6948,41179
259,B294,6499,59881
259,B295,3499,17700
251,B296,3399,57490
251,B297,4999,61643
263,B298,3599,33008
263,B299,3599,79947
268,B300,4699,81776
268,B301,4099,32820
274,B302,8599,54576
274,B303,7399,37237
257,B304,5499,79938
257,B305,2899,3105
287,B306,9499,98983
271,B307,3899,1273
271,B308,3299,99066
298,B309,6299,29403
285,B310,6988,43142
287,B311,14999,17702
300,B312,6088,30341
285,B313,6988,75713
295,B314,9499,29508
295,B315,9999,41413
291,B316,8699,97325
297,B317,6999,45887
260,B318,2209,32977
114,B319,5099,85006
66,B320,2198,56477
330,B321,1399,85621
331,B322,2299,56900
304,B323,9999,52442
314,B324,2498,29372
297,B325,5999,97570
332,B326,2499,92797
333,B327,1168,53581
250,B328,5999,63995
279,B329,3899,65132
333,B330,599,83668
291,B331,7299,37786
298,B332,5299,4144
288,B333,9399,94068
334,B334,1633.5,5588
250,B335,3999,95815
66,B336,1999,55141
248,B337,3199,84313
6,B338,7299,54793
6,B339,4999,69633
248,B340,6699,40691
247,B341,3899,13803
247,B342,6299,22872
256,B343,8999,33138
256,B344,9999,64889
252,B345,6099,59187
259,B346,4699,46264
259,B347,3699,9939
252,B348,7498,87436
251,B349,3299,28281
251,B350,5099,78053
268,B351,2799,41036
268,B352,2799,30494
274,B353,9699,46992
263,B354,2699,11977
274,B355,7499,92085
263,B356,4399,21372
335,B357,1550,92074
305,B358,5399,81470
305,B359,4699,22920
257,B360,4099,92453
257,B361,7599,37865
287,B362,5988,79830
271,B363,3649,81226
287,B364,9399,40735
271,B365,5499,40202
295,B366,10499,33452
295,B367,7299,2089
285,B368,5488,14024
297,B369,9499,81141
297,B370,9799,30715
291,B371,4599,53145
285,B372,4288,33580
250,B373,4599,22768
291,B374,6799,86288
336,B375,10499,95838
337,B376,6499,58202
288,B377,2899,46468
338,B378,1588,27602
298,B379,3599,99111
339,B380,3599,98856
289,B381,4999,66900
339,B382,5349,85532
298,B383,6999,21314
250,B384,3899,61794
289,B385,6699,29675
308,B386,10499,71028
340,B387,1180,84709
282,B388,5999,72498
337,B389,6499,36503
305,B390,5199,24327
341,B391,2300,54617
303,B392,7999,2524
6,B393,4399,85897
6,B394,6799,22435
248,B395,6799,4275
247,B396,2699,86777
247,B397,14399,40709
248,B398,6199,54361
256,B399,16999,46772
256,B400,7099,10837
305,B401,4699,4967
342,B402,3000,63426
250,B403,3999,60143
259,B404,8098,75382
259,B405,2549,28791
252,B406,8398,37768
252,B407,7298,24070
251,B408,5299,69109
251,B409,6699,46163
268,B410,3399,16331
268,B411,4999,97333
263,B412,4399,97685
263,B413,7799,15826
274,B414,7299,84616
257,B415,4799,35209
274,B416,4399,28568
287,B417,6999,28125
287,B418,9999,48925
271,B419,4798,17495
271,B420,4299,85685
295,B421,5999,29506
295,B422,5099,49696
257,B423,6599,46832
285,B424,5788,27680
297,B425,6599,85200
285,B426,5688,65320
297,B427,6999,5238
279,B428,7299,78283
333,B429,1198,31004
282,B430,3799,24933
300,B431,4588,41048
298,B432,6699,73582
288,B433,6999,86307
336,B434,11299,64484
281,B435,3999,55506
282,B436,7499,36399
308,B437,9999,85266
