storeNo,name,type,seviceHotline,foundDate
139,zzpengbin,电子商品店,13343270572,2007/5/20
140,jianjun7758,电子商品店,13725828709,2007/5/21
141,惠通合众,电子商品店,13278582433,2007/5/22
142,li802588,电子商品店,13262645882,2007/5/23
143,hp服务器商用台机批发,电子商品店,13799031506,2007/5/24
144,芊年e恋,电子商品店,13161188455,2007/5/25
145,1铭嘉科技,电子商品店,13502138854,2007/5/26
146,广州众邦业有限公司,电子商品店,13811407233,2007/5/27
147,斯文小小咯,电子商品店,13841364318,2007/5/28
148,华胜优品数码商城,电子商品店,13324864947,2007/5/29
149,li990105,电子商品店,13985370402,2007/5/30
150,北方的男孩_0905,电子商品店,13417855274,2007/5/31
151,沁穆堂,电子商品店,13984607027,2007/6/1
152,sunzhiguang_2007,电子商品店,13656055391,2007/6/2
153,蓝宇数码科技有限公司y,电子商品店,13422555983,2007/6/3
154,翔数企业供应商,电子商品店,13453436938,2007/6/4
155,kwei2012,电子商品店,13799764811,2007/6/5
156,雄业long,电子商品店,13187760932,2007/6/6
157,zhen_080411,电子商品店,13874278046,2007/6/7
158,yzjwcp,电子商品店,13632785123,2007/6/8
159,guangzhouwanglian,电子商品店,13395299948,2007/6/9
160,liupin5727,电子商品店,13122371633,2007/6/10
161,t_1527525272623_0277,电子商品店,13435934507,2007/6/11
162,往事随风2059,电子商品店,13880211721,2007/6/12
163,广州新世纪科技,电子商品店,13683897360,2007/6/13
164,逵哥电脑,电子商品店,13462401038,2007/6/14
165,云里飞舞,电子商品店,13123340520,2007/6/15
166,tb27909299,电子商品店,13543264858,2007/6/16
167,熊孩子他大叔,电子商品店,13493793264,2007/6/17
168,创宇电脑科技2014,电子商品店,13467201175,2007/6/18
169,厉蔡060821,电子商品店,13926562556,2007/6/19
170,赵红2008,电子商品店,13165838779,2007/6/20
171,tb12282087,电子商品店,13950301999,2007/6/21
172,服务器电脑存储及配件,电子商品店,13975345421,2007/6/22
173,五月河的一叶,电子商品店,13373170976,2007/6/23
174,andytrypro,电子商品店,13988482020,2007/6/24
175,我叫林春荣,电子商品店,13777119429,2007/6/25
176,鼎好电子城b1,电子商品店,13629841127,2007/6/26
177,singou2008,电子商品店,13402170239,2007/6/27
178,haizheng520914,电子商品店,13975352882,2007/6/28
179,宏锐电脑产品公司,电子商品店,13563554022,2007/6/29
180,qq330978210_刘辉,电子商品店,13202793151,2007/6/30
181,营联科技,电子商品店,13513001405,2007/7/1
182,凤太后,电子商品店,13423130477,2007/7/2
183,华信电子seven_tao,电子商品店,13722643485,2007/7/3
184,神说可以说,电子商品店,13482530734,2007/7/4
185,qingfengbei,电子商品店,13670684540,2007/7/5
186,诚信品质信赖,电子商品店,13921768121,2007/7/6
187,maifangren,电子商品店,13385719876,2007/7/7
188,好好学习天天向上之成长,电子商品店,13978179959,2007/7/8
189,susie871022,电子商品店,13725613236,2007/7/9
190,清秀的宝,电子商品店,13539004015,2007/7/10
191,qiuzhan2008,电子商品店,13948382119,2007/7/11
192,北京锐博正业,电子商品店,13589961864,2007/7/12
193,ming0766w,电子商品店,13874109595,2007/7/13
194,mr060320,电子商品店,13357515866,2007/7/14
195,yuanping513525,电子商品店,13619392785,2007/7/15
196,云巅电子821,电子商品店,13233568177,2007/7/16
197,hanbing_1944,电子商品店,13197508870,2007/7/17
198,高福电脑经营部,电子商品店,13964318019,2007/7/18
199,z3704948,电子商品店,13406083045,2007/7/19
200,e家乐科技,电子商品店,13103922130,2007/7/20
201,唐宇展,电子商品店,13602156770,2007/7/21
202,kokoko1210,电子商品店,13779125573,2007/7/22
203,abc023288,电子商品店,13690475191,2007/7/23
204,议创科技,电子商品店,13265959761,2007/7/24
205,zenghangzh,电子商品店,13492505328,2007/7/25
206,xj283823218,电子商品店,13637392582,2007/7/26
207,小倪鳅518,电子商品店,13651143253,2007/7/27
208,c_jingkui,电子商品店,13691899404,2007/7/28
209,yuweishiwo,电子商品店,13728540184,2007/7/29
210,zxc51643521,电子商品店,13729913551,2007/7/30
211,哥哥狠酷,电子商品店,13821093996,2007/7/31
212,lijichao2300579529,电子商品店,13502930241,2007/8/1
213,昌茂电脑科技,电子商品店,13685266720,2007/8/2
214,上海赋亮,电子商品店,13192169741,2007/8/3
215,工丁刘亚,电子商品店,13118302454,2007/8/4
216,chenhaijun8888_007,电子商品店,13697620777,2007/8/5
217,广州速奇科技,电子商品店,13654569875,2007/8/6
218,广东力邦,电子商品店,13539379746,2007/8/7
219,胜华科技在线,电子商品店,13179943071,2007/8/8
220,蔡文光,电子商品店,13564112708,2007/8/9
221,yjzsh99,电子商品店,13909983146,2007/8/10
222,河南hp总代理,电子商品店,13584789508,2007/8/11
223,guyuzhou86,电子商品店,13131256805,2007/8/12
224,卓美店铺,电子商品店,13144291666,2007/8/13
225,tb282783631,电子商品店,13241329481,2007/8/14
226,南洋鸿业,电子商品店,13147606183,2007/8/15
227,e家硬盘,电子商品店,13205249215,2007/8/16
228,hpelite,电子商品店,13435896650,2007/8/17
229,tb941196_89,电子商品店,13709794259,2007/8/18
230,515081213cwxw,电子商品店,13309725405,2007/8/19
231,zuo家豪,电子商品店,13183308033,2007/8/20
232,伟新数码,电子商品店,13366410321,2007/8/21
233,爵豹数码专营店,电子商品店,13661460992,2007/8/22
234,gzsfdnkj,电子商品店,13201492256,2007/8/23
235,广州聚回收,电子商品店,13791912173,2007/8/24
236,t_1509361774090_0714,电子商品店,13908271747,2007/8/25
237,圆梦电脑商城,电子商品店,13747784193,2007/8/26
238,珍怡电脑商城,电子商品店,13175130382,2007/8/27
239,迪绯讯,电子商品店,13422543713,2007/8/28
240,丿love灬倾城之恋,电子商品店,13709440092,2007/8/29
241,广州帕德商行,电子商品店,13338023917,2007/8/30
242,ouxibin,电子商品店,13363759518,2007/8/31
243,晋轩电器,电子商品店,13602249158,2007/9/1
244,阿珊购物网,电子商品店,13912708745,2007/9/2
245,普嘉电脑商城,电子商品店,13858067654,2007/9/3
246,联想驰万通专卖店,电子商品店,13103856490,2007/9/4
247,联想艾克兰斯专卖店,电子商品店,13491199138,2007/9/5
248,联想官方旗舰店,电子商品店,13396236570,2007/9/6
249,货好又多,电子商品店,13773001003,2007/9/7
250,联想天晴东方专卖店,电子商品店,13449214631,2007/9/8
251,联想航电专卖店,电子商品店,13960954628,2007/9/9
252,联想通恒本厚专卖店,电子商品店,13901503402,2007/9/10
253,abc3218888,电子商品店,13403894663,2007/9/11
254,联想爱特家专卖店,电子商品店,13410882711,2007/9/12
255,霞咪520168,电子商品店,13388021569,2007/9/13
256,thinkpad官方旗舰店,电子商品店,13802566214,2007/9/14
257,联想高科专卖店,电子商品店,13490526446,2007/9/15
258,潮流世代2,电子商品店,13881961244,2007/9/16
259,联想联保专卖店,电子商品店,13533065656,2007/9/17
260,联想联畅专卖店,电子商品店,13703938403,2007/9/18
261,笔记本数码港,电子商品店,13461042711,2007/9/19
262,黄景升1,电子商品店,13213963656,2007/9/20
263,联想睿坤专卖店,电子商品店,13974547282,2007/9/21
264,电脑总汇1,电子商品店,13338105337,2007/9/22
265,溢彩电脑啊娟,电子商品店,13106151641,2007/9/23
266,816tian楠楠,电子商品店,13173788382,2007/9/24
267,四海之内皆兄弟,电子商品店,13970382141,2007/9/25
268,联想率秀图新专卖店,电子商品店,13885969116,2007/9/26
269,广州凌心信息科技有限公司,电子商品店,13809342911,2007/9/27
270,hzp6294515,电子商品店,13434329016,2007/9/28
271,联想冉创专卖店,电子商品店,13653326288,2007/9/29
272,永生液晶总汇,电子商品店,13656123403,2007/9/30
273,爱点不点,电子商品店,13877048784,2007/10/1
274,thinkpad恒瀚专卖店,电子商品店,13204217085,2007/10/2
275,联想华昌专卖店,电子商品店,13966602836,2007/10/3
276,天使枫格,电子商品店,13833975615,2007/10/4
277,联想索格专卖店,电子商品店,13735959155,2007/10/5
278,陈春珊2009,电子商品店,13725091708,2007/10/6
279,来酷智生活旗舰店,电子商品店,13917368061,2007/10/7
280,吴贤臻,电子商品店,13412165253,2007/10/8
281,联想网新专卖店,电子商品店,13486443689,2007/10/9
282,thinkpad志强小红帽专卖店,电子商品店,13906231146,2007/10/10
283,诚信为主348,电子商品店,13153932538,2007/10/11
284,xuchaozuo,电子商品店,13453808862,2007/10/12
285,thinkpad蓝之新专卖店,电子商品店,13347613987,2007/10/13
286,鼎嗌诺,电子商品店,13921819002,2007/10/14
287,thinkpad芯可专卖店,电子商品店,13202171804,2007/10/15
288,联想航智专卖店,电子商品店,13901311860,2007/10/16
289,thinkpad北创辉煌专卖店,电子商品店,13502137338,2007/10/17
290,小熊online58,电子商品店,13805262014,2007/10/18
291,联想领航时代专卖店,电子商品店,13867713194,2007/10/19
292,yulinjie1hao8,电子商品店,13904150401,2007/10/20
293,卢思儿,电子商品店,13903452998,2007/10/21
294,联想龙企华商专卖店,电子商品店,13330890821,2007/10/22
295,thinkpad徽湘专卖店,电子商品店,13349994319,2007/10/23
296,名曰伊一,电子商品店,13912659476,2007/10/24
297,thinkpad中硕专卖店,电子商品店,13728931050,2007/10/25
298,thinkpad致信专卖店,电子商品店,13662587244,2007/10/26
299,腾海电脑,电子商品店,13651758349,2007/10/27
300,thinkpad福瑞佳专卖店,电子商品店,13349177555,2007/10/28
301,雄海科技,电子商品店,13652217731,2007/10/29
302,什么时候熬出头啊,电子商品店,13613366005,2007/10/30
303,华泰纵横数码专营店,电子商品店,13264747769,2007/10/31
304,thinkpad易本通专卖店,电子商品店,13864090954,2007/11/1
305,联想茂双专卖店,电子商品店,13914750353,2007/11/2
306,虎子kivey,电子商品店,13879208785,2007/11/3
307,oytchao,电子商品店,13994070403,2007/11/4
308,thinkpad盛百豪专卖店,电子商品店,13681608898,2007/11/5
309,联想蓝之新专卖店,电子商品店,13672930817,2007/11/6
310,联想睿劲专卖店,电子商品店,13182821686,2007/11/7
311,shyneel,电子商品店,13434150426,2007/11/8
312,z栩栩如生m,电子商品店,13765700613,2007/11/9
313,陈南兵兵,电子商品店,13895903714,2007/11/10
314,联想网和生专卖店,电子商品店,13210999749,2007/11/11
315,广州启泰科技,电子商品店,13749717983,2007/11/12
316,hsc0607,电子商品店,13946380004,2007/11/13
317,采购城888,电子商品店,13403879878,2007/11/14
318,高耀寒2011,电子商品店,13165291324,2007/11/15
319,樾禧数码专营店,电子商品店,13352957635,2007/11/16
320,联想千百回专卖店,电子商品店,13374090157,2007/11/17
321,徐爱杨,电子商品店,13694210551,2007/11/18
322,卖动科技,电子商品店,13808317438,2007/11/19
323,吃兔子的猫xkc,电子商品店,13199577107,2007/11/20
324,联想瑾琪专卖店,电子商品店,13248604290,2007/11/21
325,上海奢宇科技,电子商品店,13976880563,2007/11/22
326,binglanfu,电子商品店,13707957453,2007/11/23
327,hzgm88888888,电子商品店,13957772274,2007/11/24
328,格利莫里2008,电子商品店,13593455018,2007/11/25
329,thinkpad电福专卖店,电子商品店,13955433615,2007/11/26
330,凌布丶95,电子商品店,13186820630,2007/11/27
331,联想示垒专卖店,电子商品店,13518713603,2007/11/28
332,songxia20092010,电子商品店,13481915202,2007/11/29
333,凯雨数码批发,电子商品店,13885854607,2007/11/30
334,品佳数码电脑,电子商品店,13971383008,2007/12/1
335,szcmllcq,电子商品店,13969343073,2007/12/2
336,thinkpad中佳宏威专卖店,电子商品店,13233004031,2007/12/3
337,林海瑞华数码专营店,电子商品店,13355210102,2007/12/4
338,深圳联众批发公司,电子商品店,13306612288,2007/12/5
339,文津书城,电子商品店,13626663131,2007/12/6
340,畅游数码专营店,电子商品店,13604550331,2007/12/7
341,unt2009,电子商品店,13377906839,2007/12/8
342,yaodia2008,电子商品店,13249420561,2007/12/9
343,thinkpad照嘉专卖店,电子商品店,13655525408,2007/12/10
344,liaochengyu4707,电子商品店,13338836114,2007/12/11
345,future7160,电子商品店,13154544712,2007/12/12
346,联想易科迅专卖店,电子商品店,13750858745,2007/12/13
347,青青小瓷坊,电子商品店,13435906974,2007/12/14
348,联想屹兰专卖店,电子商品店,13911861227,2007/12/15
349,悦立商城,电子商品店,13650117045,2007/12/16
350,幸福的飞,电子商品店,13369293423,2007/12/17
351,联想清光墨轩专卖店,电子商品店,13373747250,2007/12/18
352,伟信数码专营店,电子商品店,13899196667,2007/12/19
353,thinkpad奇达专卖店,电子商品店,13542823766,2007/12/20
354,情况如此复杂,电子商品店,13766314630,2007/12/21
355,联想天慧专卖店,电子商品店,13326651601,2007/12/22
356,上海志旋商城,电子商品店,13925876992,2007/12/23
357,kslotus2,电子商品店,13728345028,2007/12/24
358,thinkpad晓慈专卖店,电子商品店,13516934715,2007/12/25
359,静谧瑛儿,电子商品店,13456663165,2007/12/26
360,thinkpad赛威特专卖店,电子商品店,13383829521,2007/12/27
361,3c宜购,电子商品店,13883850965,2007/12/28
362,thinkpad翰林汇专卖店,电子商品店,13640316054,2007/12/29
363,wenneng8,电子商品店,13783503625,2007/12/30
364,ihi品牌自营店,电子商品店,13594159113,2007/12/31
365,驰雍数码专营店,电子商品店,13416031915,2008/1/1
366,宇阳电商,电子商品店,13568958708,2008/1/2
367,狼叔008,电子商品店,13721268150,2008/1/3
368,联想创富佳联专卖店,电子商品店,13146861858,2008/1/4
369,a327295708,电子商品店,13520701399,2008/1/5
370,jx19860929,电子商品店,13622887982,2008/1/6
371,饭不够吃吖,电子商品店,13645214954,2008/1/7
372,没有理想的店掌柜,电子商品店,13783014918,2008/1/8
373,luky_juan,电子商品店,13242310479,2008/1/9
374,亮叶冬青,电子商品店,13377036767,2008/1/10
375,联想汉潮专卖店,电子商品店,13799318877,2008/1/11
376,阿乐数码科技,电子商品店,13413414226,2008/1/12
377,shy000girl,电子商品店,13914829104,2008/1/13
378,小云2198,电子商品店,13379801126,2008/1/14
379,sunyday20051,电子商品店,13140618599,2008/1/15
380,嘉辰电子,电子商品店,13553186955,2008/1/16
381,京合旗舰店,电子商品店,13125800362,2008/1/17
382,华为官方旗舰店,电子商品店,13533732470,2008/1/18
383,荣耀官方旗舰店,电子商品店,13378098626,2008/1/19
384,蓝港数码专营店,电子商品店,13798120805,2008/1/20
385,广东电信亿品汇专卖店,电子商品店,13503891255,2008/1/21
386,卓瓦数码专营店,电子商品店,13805849477,2008/1/22
387,同步飞扬数码专营店,电子商品店,13759247410,2008/1/23
388,荣耀宏百纳专卖店,电子商品店,13857078782,2008/1/24
389,中国移动官方旗舰店,电子商品店,13834139133,2008/1/25
390,博盛景数码专营店,电子商品店,13762022830,2008/1/26
391,华为上乘专卖店,电子商品店,13949043498,2008/1/27
392,华为莫问专卖店,电子商品店,13386790021,2008/1/28
393,华为卓瑞尔专卖店,电子商品店,13558840639,2008/1/29
394,能良数码官方旗舰店,电子商品店,13816560450,2008/1/30
395,三际数码官方旗舰店,电子商品店,13831676394,2008/1/31
396,信沃数码专营店,电子商品店,13741179142,2008/2/1
397,久汇数码专营店,电子商品店,13423025349,2008/2/2
398,新松联手机专营店,电子商品店,13256238143,2008/2/3
399,君问数码官方旗舰店,电子商品店,13813437487,2008/2/4
400,clife旗舰店,电子商品店,13426740693,2008/2/5
401,荣耀港讯专卖店,电子商品店,13329249024,2008/2/6
402,荣耀梵荣专卖店,电子商品店,13540572852,2008/2/7
403,荣耀捷晶专卖店,电子商品店,13671417802,2008/2/8
404,同迅数码专营店,电子商品店,13673502188,2008/2/9
405,小淘器数码专营店,电子商品店,13467416529,2008/2/10
406,华为绍天专卖店,电子商品店,13645605852,2008/2/11
407,华为千百回专卖店,电子商品店,13150134019,2008/2/12
408,中国移动手机官方旗舰店,电子商品店,13389518136,2008/2/13
409,创汇通达数码旗舰店,电子商品店,13850608845,2008/2/14
410,宏威科锐数码专营店,电子商品店,13361811718,2008/2/15
411,京联通达数码旗舰店,电子商品店,13757213392,2008/2/16
412,鑫世纪88通讯专卖,电子商品店,13717533029,2008/2/17
413,博海宇通数码专营店,电子商品店,13887913344,2008/2/18
414,华为屹本专卖店,电子商品店,13543408600,2008/2/19
415,宏百纳数码专营店,电子商品店,13133839031,2008/2/20
416,荣耀享往专卖店,电子商品店,13574257055,2008/2/21
417,深港通信专卖,电子商品店,13461477843,2008/2/22
418,詹福来1987,电子商品店,13403831774,2008/2/23
419,wezebaba,电子商品店,13218045704,2008/2/24
420,白开水的点燃方式,电子商品店,13335854090,2008/2/25
421,oksj数码旗舰店,电子商品店,13403825546,2008/2/26
422,圆中方数码,电子商品店,13679289792,2008/2/27
423,千瑞宏达手机专营店,电子商品店,13851090679,2008/2/28
424,天猫超市量贩店,电子商品店,13375669163,2008/2/29
425,品牌机批发店,电子商品店,13959619073,2008/3/1
426,heatlinda,电子商品店,13714505540,2008/3/2
427,赛西湖,电子商品店,13932547768,2008/3/3
428,鏖彧数码专营店,电子商品店,13770809908,2008/3/4
429,华为乐之途专卖店,电子商品店,13475940664,2008/3/5
430,新联智尚数码旗舰店,电子商品店,13523119350,2008/3/6
431,深圳一航,电子商品店,13830109652,2008/3/7
432,翼天下天翼电信旗舰店,电子商品店,13550740345,2008/3/8
433,敏敏数码店24,电子商品店,13838160887,2008/3/9
434,国货平价网,电子商品店,13850016201,2008/3/10
435,华尔盛世数码专营店,电子商品店,13153566374,2008/3/11
436,e酷手机网,电子商品店,13205510199,2008/3/12
437,和来达数码专营店,电子商品店,13995810707,2008/3/13
438,欣欣向荣13688,电子商品店,13368865651,2008/3/14
439,利376718314,电子商品店,13949345545,2008/3/15
440,易联讯达旗舰店,电子商品店,13765783113,2008/3/16
441,alixion,电子商品店,13296997122,2008/3/17
442,京成数码商贸,电子商品店,13125121179,2008/3/18
443,亿晨数码专营店,电子商品店,13798469516,2008/3/19
444,龙通店,电子商品店,13133345441,2008/3/20
445,中宽通讯行,电子商品店,13438088798,2008/3/21
446,苏苏通讯,电子商品店,13411160951,2008/3/22
447,宏利达手机通讯,电子商品店,13658652779,2008/3/23
448,candy儿儿儿,电子商品店,13163322819,2008/3/24
449,乐哇数码专营店,电子商品店,13719152027,2008/3/25
450,雯雯数码商店,电子商品店,13747193589,2008/3/26
451,淘购数码商城,电子商品店,13804790396,2008/3/27
452,得者淘数码专营店,电子商品店,13286754923,2008/3/28
453,晋商数码专营店,电子商品店,13580495101,2008/3/29
454,诚亨通讯,电子商品店,13648046211,2008/3/30
455,恒波官方旗舰店,电子商品店,13508604342,2008/3/31
456,绿森数码官方旗舰店,电子商品店,13651396028,2008/4/1
457,启能数码专营店,电子商品店,13134931210,2008/4/2
458,乐嘟嘟宝贝_2015,电子商品店,13515071438,2008/4/3
459,沃德盛世数码专营店,电子商品店,13988050683,2008/4/4
460,梅州铭鑫通讯,电子商品店,13542721526,2008/4/5
461,上海数码馆,电子商品店,13944495041,2008/4/6
462,友联通讯行,电子商品店,13871183374,2008/4/7
463,yqc18,电子商品店,13712411137,2008/4/8
464,旺盈数码城,电子商品店,13389653844,2008/4/9
465,yuzunyi0423,电子商品店,13904736026,2008/4/10
466,云科数码店,电子商品店,13355883674,2008/4/11
467,liang3990,电子商品店,13200277862,2008/4/12
468,众合数码高手,电子商品店,13333888808,2008/4/13
469,cyq陈31555,电子商品店,13176363085,2008/4/14
470,蓝阳数码专营店,电子商品店,13828240880,2008/4/15
471,韩流来袭000,电子商品店,13564437649,2008/4/16
472,辽宁东哲数码连锁,电子商品店,13601229763,2008/4/17
473,well_wisher,电子商品店,13175617306,2008/4/18
474,yeabay,电子商品店,13737615702,2008/4/19
475,绝对诚信qq464547963,电子商品店,13210526839,2008/4/20
476,南南jd,电子商品店,13786620614,2008/4/21
477,炫和科技,电子商品店,13590607448,2008/4/22
478,晓阳通讯,电子商品店,13981140626,2008/4/23
479,为人民服务668,电子商品店,13537527855,2008/4/24
480,玖零世纪,电子商品店,13961110798,2008/4/25
481,华奥通讯bj,电子商品店,13477287511,2008/4/26
482,鸿威通讯,电子商品店,13622342257,2008/4/27
483,东芝021,电子商品店,13517197957,2008/4/28
